6.1270		(g cm-3)
138.9055		(g mol-1)
57			Z 
17			edges
3.89246E+01		K
6.26630E+00		L I
5.89060E+00		L II
5.48270E+00		L III
1.36130E+00		M I
1.20440E+00		M II
1.12340E+00		M III
8.48500E-01		M IV
8.31700E-01		M V
2.70400E-01		N I
2.05800E-01		N II
1.91400E-01		N III
9.89000E-02		N IV
9.89000E-02		N V
3.23000E-02		O I
1.44000E-02		O II
1.44000E-02		O III
      E            f1          f2        []      	[/]      	[]      	[]K      lambda
                                      Photoelectric Coh+inc      Total
     keV        e atom-1      e atom-1   cm2 g-1       cm2 g-1      cm2 g-1   cm2 g-1     nm
101	nlines
2.080733E+00  5.18973E+01  1.4606E+01  2.1266E+03  7.7014E+00  2.1343E+03  0.000E+00  5.959E-01
2.224304E+00  5.22206E+01  1.3340E+01  1.8169E+03  7.6262E+00  1.8245E+03  0.000E+00  5.574E-01
2.377781E+00  5.25442E+01  1.2171E+01  1.5506E+03  7.5305E+00  1.5581E+03  0.000E+00  5.214E-01
2.541848E+00  5.27346E+01  1.1099E+01  1.3228E+03  7.4154E+00  1.3302E+03  0.000E+00  4.878E-01
2.717235E+00  5.28027E+01  1.0131E+01  1.1295E+03  7.2820E+00  1.1368E+03  0.000E+00  4.563E-01
2.904724E+00  5.28464E+01  9.2543E+00  9.6516E+02  7.1318E+00  9.7229E+02  0.000E+00  4.268E-01
3.105150E+00  5.28835E+01  8.3917E+00  8.1870E+02  6.9660E+00  8.2567E+02  0.000E+00  3.993E-01
3.319406E+00  5.27902E+01  7.5590E+00  6.8986E+02  6.7861E+00  6.9665E+02  0.000E+00  3.735E-01
3.548445E+00  5.25879E+01  6.7776E+00  5.7863E+02  6.5937E+00  5.8522E+02  0.000E+00  3.494E-01
3.793288E+00  5.22804E+01  6.0781E+00  4.8542E+02  6.3903E+00  4.9181E+02  0.000E+00  3.269E-01
4.055024E+00  5.18694E+01  5.4587E+00  4.0781E+02  6.1775E+00  4.1399E+02  0.000E+00  3.058E-01
4.334821E+00  5.13283E+01  4.9111E+00  3.4322E+02  5.9569E+00  3.4918E+02  0.000E+00  2.860E-01
4.633924E+00  5.05850E+01  4.4267E+00  2.8939E+02  5.7301E+00  2.9512E+02  0.000E+00  2.676E-01
4.953664E+00  4.94384E+01  3.9916E+00  2.4411E+02  5.4986E+00  2.4961E+02  0.000E+00  2.503E-01
